price,brand,resolution,screen_size,level_1_model,processor_speed,ram,warranty,hdd_exist,ssd_exist,graphic_card_exist,storage
281,2099.0,gigabyte,uhd,15.6,aero,2.6,16.0,1,0,1,1,512.0
282,1249.0,apple,wqxga,15.4,macbook pro,2.2,16.0,1,0,1,1,256.0
283,1449.0,lenovo,fhd,15.6,legion,2.2,16.0,1,0,1,1,512.0
284,949.0,lenovo,qhd,13.3,yoga,2.5,16.0,1,0,1,1,512.0
285,1949.0,gigabyte,uhd,15.6,aero,2.6,16.0,1,0,1,1,512.0
286,1649.0,lenovo,qhd,14.0,thinkpad,2.8,16.0,1,0,1,1,1000.0
287,1299.0,apple,wqxga,13.3,macbook pro,2.0,8.0,1,0,1,1,256.0
288,1199.0,apple,wqxga,13.3,macbook pro,2.9,8.0,1,0,1,1,256.0
289,1799.0,apple,wqxga,13.3,macbook pro,3.1,8.0,1,0,1,1,512.0
290,1899.0,apple,wqxga,15.4,macbook pro,2.7,16.0,1,0,1,1,512.0
291,1298.0,asus,fhd,14.0,zenbook,1.8,8.0,1,0,1,1,1000.0
292,199.0,microsoft,hd,10.6,surface,1.7,2.0,1,0,1,0,32.0
293,549.0,hp,hd,14.0,elitebook,2.6,8.0,1,0,1,1,256.0
294,449.0,fujitsu,hd,14.0,lifebook,2.1,4.0,1,1,0,1,500.0
295,699.0,lenovo,fhd,15.6,legion,2.8,16.0,1,0,1,1,256.0
296,575.0,acer,hd,14.0,travelmate,2.3,8.0,0,1,0,0,512.0
297,868.0,lenovo,fhd,12.5,thinkpad,1.7,8.0,0,0,1,1,256.0
298,469.0,hp,hd,12.5,elitebook,2.4,8.0,0,0,1,1,256.0
299,849.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,0,0,1,1,256.0
300,1068.0,lenovo,fhd,14.0,thinkpad,1.7,8.0,0,0,1,1,256.0
301,399.0,hp,hd,12.5,elitebook,2.4,8.0,0,0,1,1,128.0
